Date,Revenue
Jan-2010,1087335
Feb-2010,-1181677
Mar-2010,757428
Apr-2010,899184
May-2010,982590
Jun-2010,929027
Jul-2010,601976
Aug-2010,554099
Sep-2010,240693
Oct-2010,1166876
Nov-2010,221894
Dec-2010,667222
Jan-2011,980782
Feb-2011,1109738
Mar-2011,-639494
Apr-2011,174588
May-2011,215010
Jun-2011,-1064303
Jul-2011,363001
Aug-2011,366188
Sep-2011,918074
Oct-2011,1027692
Nov-2011,318721
Dec-2011,107024
Jan-2012,118996
Feb-2012,385909
Mar-2012,667962
Apr-2012,903388
May-2012,552339
Jun-2012,-506032
Jul-2012,1098106
Aug-2012,330234
Sep-2012,852720
Oct-2012,-126537
Nov-2012,1003864
Dec-2012,446380
Jan-2013,776892
Feb-2013,961452
Mar-2013,1178648
Apr-2013,-489959
May-2013,526058
Jun-2013,1198528
Jul-2013,862808
Aug-2013,475249
Sep-2013,193577
Oct-2013,669223
Nov-2013,111302
Dec-2013,510764
Jan-2014,1002311
Feb-2014,852717
Mar-2014,452508
Apr-2014,1011649
May-2014,-1016837
Jun-2014,-584487
Jul-2014,767605
Aug-2014,1087713
Sep-2014,1031808
Oct-2014,640026
Nov-2014,236797
Dec-2014,707265
Jan-2015,339848
Feb-2015,150490
Mar-2015,504945
Apr-2015,454763
May-2015,585394
Jun-2015,626856
Jul-2015,-159459
Aug-2015,734233
Sep-2015,706438
Oct-2015,601898
Nov-2015,317138
Dec-2015,768700
Jan-2016,459807
Feb-2016,905586
Mar-2016,368220
Apr-2016,627459
May-2016,114209
Jun-2016,1175760
Jul-2016,-301242
Aug-2016,543379
Sep-2016,-440539
Oct-2016,357463
Nov-2016,786314
Dec-2016,184870
Jan-2017,303882
Feb-2017,-1177218
