Date,Revenue
Jan-2010,1050663
Feb-2010,910623
Mar-2010,1048424
Apr-2010,115335
May-2010,401046
Jun-2010,1128394
Jul-2010,367584
Aug-2010,646679
Sep-2010,87562
Oct-2010,452244
Nov-2010,94796
Dec-2010,636482
Jan-2011,1073499
Feb-2011,157770
Mar-2011,504110
Apr-2011,634320
May-2011,786690
Jun-2011,407170
Jul-2011,310763
Aug-2011,95840
Sep-2011,217244
Oct-2011,-140156
Nov-2011,905989
Dec-2011,558694
Jan-2012,1017542
Feb-2012,999668
Mar-2012,1125728
Apr-2012,502766
May-2012,618969
Jun-2012,833404
Jul-2012,-560006
Aug-2012,1086805
Sep-2012,797882
Oct-2012,701919
Nov-2012,747789
Dec-2012,936153
Jan-2013,-280167
Feb-2013,-1054288
Mar-2013,-1097971
Apr-2013,1184056
May-2013,336479
Jun-2013,685970
Jul-2013,622350
Aug-2013,1033594
Sep-2013,724627
Oct-2013,779180
Nov-2013,1132298
Dec-2013,1092701
Jan-2014,295148
Feb-2014,1017242
Mar-2014,394161
Apr-2014,106387
May-2014,1029948
Jun-2014,580928
Jul-2014,1114662
Aug-2014,792502
Sep-2014,580723
Oct-2014,1033033
Nov-2014,694678
Dec-2014,-921907
Jan-2015,1184256
Feb-2015,453080
Mar-2015,50065
Apr-2015,1063053
May-2015,668026
Jun-2015,311107
Jul-2015,-1176685
Aug-2015,1052543
Sep-2015,502308
Oct-2015,-881311
Nov-2015,1177144
Dec-2015,1041748
Jan-2016,530627
Feb-2016,450737
Mar-2016,-1018419
Apr-2016,987035
May-2016,1056718
Jun-2016,119304
Jul-2016,317119
Aug-2016,-838290
Sep-2016,-1000479
Oct-2016,650431
Nov-2016,-562514
Dec-2016,628996
Jan-2017,409771
Feb-2017,835787
