Date,Revenue
Jan-2010,-1032659
Feb-2010,640622
Mar-2010,911016
Apr-2010,379117
May-2010,87018
Jun-2010,879056
Jul-2010,809464
Aug-2010,992411
Sep-2010,373673
Oct-2010,922425
Nov-2010,390223
Dec-2010,158417
Jan-2011,811569
Feb-2011,434096
Mar-2011,1073776
Apr-2011,621648
May-2011,974857
Jun-2011,741863
Jul-2011,568679
Aug-2011,857452
Sep-2011,-1033554
Oct-2011,-173359
Nov-2011,204375
Dec-2011,924579
Jan-2012,709443
Feb-2012,231354
Mar-2012,1044345
Apr-2012,756307
May-2012,1127232
Jun-2012,924627
Jul-2012,256022
Aug-2012,-522353
Sep-2012,770650
Oct-2012,765174
Nov-2012,310729
Dec-2012,-225165
Jan-2013,1134566
Feb-2013,58525
Mar-2013,179437
Apr-2013,575895
May-2013,716096
Jun-2013,237513
Jul-2013,736720
Aug-2013,1132170
Sep-2013,974599
Oct-2013,344833
Nov-2013,273190
Dec-2013,598017
Jan-2014,430741
Feb-2014,-816840
Mar-2014,981950
Apr-2014,406053
May-2014,302442
Jun-2014,1060539
Jul-2014,478486
Aug-2014,380558
Sep-2014,164182
Oct-2014,-922229
Nov-2014,812371
Dec-2014,-223099
Jan-2015,748879
Feb-2015,75458
Mar-2015,-859950
Apr-2015,631891
May-2015,1066082
Jun-2015,268404
Jul-2015,855184
Aug-2015,518449
Sep-2015,462131
Oct-2015,204200
Nov-2015,287044
Dec-2015,197884
Jan-2016,52510
Feb-2016,463923
Mar-2016,703609
Apr-2016,-958919
May-2016,61127
Jun-2016,228989
Jul-2016,1179778
Aug-2016,-700214
Sep-2016,363751
Oct-2016,1044884
Nov-2016,112689
Dec-2016,252334
Jan-2017,608626
Feb-2017,-184006
